index,Acc,PValue,FDR,candidate,S1,S2,S3,C1,C2,C3,mean_s,mean_c,Log2FC,Log10signal,-Log10PValue,Log10signal_Q,transcript_id,gene_id,transcript_mean,Intensity,Mol. weight [kDa],S1_copy_number,S2_copy_number,S3_copy_number,C1_copy_number,C2_copy_number,C3_copy_number,mean_s_cn,mean_c_cn
148,148_ENST00000588248__K7EQI6_ARHGAP33,0.12999929085094025,0.16494379049339433,no,97149.75246491299,136964.4240835747,128862.545651673,98463.34877963203,97858.32641452557,110262.74038862655,120992.24073338689,102194.80519426137,-0.24359266751664124,5.348668983968928,0.8860590167728826,9,ENST00000588248,ENSG00000004777,-0.24359266751664124,440250000,69.602,22212,31876,30015,22956,22752,25605,28034,23771
149,149_ENST00000562133__H3BNK3_NDUFAB1,0.3563779511290214,0.4099367578244861,no,65521.42402173386,77532.93672639615,59198.481604017514,53764.18438711341,53071.208903153165,75290.03131922084,67417.61411738252,60708.47486982914,-0.1512276418432538,5.107637569632041,0.4480891733198243,5,ENST00000562133,ENSG00000004779,-0.1512276418432538,75244000,12.099,25657,30904,23616,21468,21133,29944,26725,24181
150,150_ENST00000416240_Q9UJS0__SLC25A13,2.4643882213772914e-06,2.160106225921209e-05,high,3042466.1737237615,3125814.4182328866,3128988.6805102895,2562548.70660711,2565489.767274851,2551230.2368121715,3099089.757488979,2559756.236898044,-0.2758381093137988,6.75272787476268,5.608290875598102,43,ENST00000416240,ENSG00000004864,-0.2758381093137988,12214000000,74.303,713002,745632,747013,612337,611366,607227,735215,610310
151,151_ENST00000393449__E7EPD9_ST7,0.8739647491388834,0.8935788227920536,no,113442.02287807579,128891.35542054393,131967.1251383928,126291.70829187715,120774.86156671174,123834.92813842747,124766.83447900416,123633.83266567212,-0.013160894065337877,5.395152757917033,0.05850608402830412,10,ENST00000393449,ENSG00000004866,-0.013160894065337877,100350000,65.52,5643,6526,6688,6406,6110,6257,6285,6257
155,155_ENST00000380763_P53701_A0A024RBY9_HCCS,5.443159884698762e-05,0.00021475739908720568,high,1001915.0580725422,1054868.6278276667,1123059.1323680764,797526.0889059141,812184.1596547185,798130.907843984,1059947.6060894283,802613.7188015388,-0.40121523224800404,6.27011058081539,4.264148908743261,32,ENST00000380763,ENSG00000004961,-0.40121523224800404,2955800000,30.601,419180,449226,478665,340227,345534,339141,449023,341634
156,156_ENST00000575458__I3L2N2_DVL2,2.2952276067226466e-06,2.0544462045012407e-05,high,594735.5890617828,622718.7435926322,640375.7615179595,881811.7337900889,864263.8924728404,885081.1838345785,619276.6980574583,877052.2700325026,0.5020786642855077,6.175027083715713,5.639174241088651,29,ENST00000575458,ENSG00000004975,0.5020786642855077,1546700000,78.375,63280,67442,69413,95670,93510,95646,66711,94942
157,157_ENST00000262803_Q92900_A0A024R7L5_UPF1,0.004928859086087707,0.009101612144019826,high,6275054.660475681,6041192.081063607,5990601.07696504,5737883.086517164,5737577.677781698,5747766.340545773,6102282.606168109,5741075.701614878,-0.08802791584893425,7.073474868580606,2.3072535979559143,47,ENST00000262803,ENSG00000005007,-0.08802791584893425,31654000000,123.03,1099768,1077712,1069581,1025390,1022536,1023103,1082353,1023676
158,158_ENST00000317881_P05141__SLC25A5,6.593813040658963e-06,4.397153231183622e-05,high,3647049.0191700235,3628344.426294022,3707722.7913499,2937163.261565356,3062317.3439498222,3025303.8458702583,3661038.745604648,3008261.4837951455,-0.2833230678367402,6.82408026833135,5.180863370896421,44,ENST00000317881,ENSG00000005022,-0.2833230678367402,49828000000,32.852,6691352,6776060,6930090,5494825,5713322,5637383,6799167,5615176
159,159_ENST00000394650_Q9NWR8__MCUB,2.334263177618521e-06,2.077804773070854e-05,high,101726.12994080233,109319.71877645329,106580.43874861792,182436.55186986533,168260.39201280274,173098.0575096561,105875.42915529117,174598.33379744136,0.721671973919152,5.447892241215032,5.631850180791064,11,ENST00000394650,ENSG00000005059,0.721671973919152,460280000,39.082,34461,37696,36782,63018,57962,59556,36313,60178
160,160_ENST00000613744__E2QRJ6_POLR2J3,0.7913860548312995,0.8208291737812302,no,719857.8633080052,716503.3600565103,644222.7404471558,651656.7988455085,649053.6576423061,753702.8076637413,693527.9879372237,684804.4213838519,-0.018262088550065204,6.139353968024846,0.1016116067907078,28,ENST00000613744,ENSG00000285437,-0.018262088550065204,994940000,17.189,243882,247086,222346,225116,223605,259341,237771,236020
161,161_ENST00000225296_Q9H6R0__DHX33,0.035646363324621434,0.05213199474196457,low,96475.61764314203,101839.16891437891,97880.86709996185,104257.723867276,105303.47650358763,105999.48850860778,98731.88455249427,105186.89629315713,0.09136702130166158,5.309457225984215,1.4479847706820166,8,ENST00000225296,ENSG00000005100,0.09136702130166158,53531000,78.873,2591,2784,2678,2855,2876,2891,2684,2874
162,162_ENST00000378526_P49916__LIG3,0.010394252201097713,0.017444701279810522,med,912974.0681428192,874520.7177865666,880609.4720175038,939902.7636266359,954885.8961788508,934585.061547267,889368.0859822966,943124.5737842512,0.08466770760083396,6.263042243706471,1.9832067498744956,32,ENST00000378526,ENSG00000005156,0.08466770760083396,1223500000,112.91,43554,42466,42797,45721,46323,45283,42939,45775
163,163_ENST00000005386_Q9H6T3__RPAP3,7.7937392152668e-05,0.00028456540318043264,high,666813.0251417666,664824.6108855954,676427.1283836728,596458.7485824948,585088.9230356691,580644.8748776618,669354.921470345,587397.5154986087,-0.18843423068319534,6.099249736041464,4.108254130140122,27,ENST00000005386,ENSG00000005175,-0.18843423068319534,1344300000,75.718,75997,77125,78536,69315,67808,67211,77219,68111
165,165_ENST00000394391_Q6FI81__CIAPIN1,0.004368025912086961,0.008221022045978951,high,1974441.096573619,1534808.8566023395,1510220.4416195545,1222941.3651754034,1230447.2439874285,1228217.7886811714,1673156.798265171,1227202.1326146678,-0.44719975742617346,6.462451746883305,2.3597147939656353,37,ENST00000394391,ENSG00000005194,-0.44719975742617346,7594200000,33.582,1241964,982688,967753,784376,787035,784651,1064135,785354
166,166_ENST00000613503_Q8TCT7__SPPL2B,4.614521394669484e-05,0.0001880578374610145,high,403421.8292942415,452341.8139988763,472267.28170264413,658978.667147978,659531.3444749617,644603.6842588375,442676.97499858733,654371.2319605924,0.5638549883078957,6.040225711946967,4.335873336118629,26,ENST00000613503,ENSG00000005206,0.5638549883078957,1000800000,64.643,45931,52421,54776,76502,76357,74537,51042,75798
168,168_ENST00000621465_Q9P299__COPZ2,3.645186528186894e-07,5.845995117229071e-06,high,279053.1196524157,283223.9868571527,281684.3460378138,395422.9680362414,389045.40995880554,391777.8010023834,281320.48418246076,392082.05966581014,0.47894102512130593,5.828274752647823,6.438280243453108,20,ENST00000621465,ENSG00000005243,0.47894102512130593,632070000,23.548000000000002,89736,92706,92279,129657,127217,127955,91573,128276
169,169_ENST00000639737_P31323_A0A024R712_PRKAR2B,0.015344845198316229,0.02463090005943243,med,849236.7592385216,914423.1557884732,909574.2987504873,820901.3638600624,836998.3001344827,821272.8421668152,891078.0712591606,826390.83538712,-0.10872758321568816,6.234888883260449,1.8140374884544566,31,ENST00000639737,ENSG00000284096,-0.10872758321568816,3305500000,46.302,284786,312129,310733,280695,285418,279714,302549,281942
170,170_ENST00000312196_Q8N5Y2__MSL3,0.17113593708309247,0.2114899859689317,no,26811.624958320084,27835.42229617924,25603.781984317222,26541.77259645198,23614.74495931894,24951.55935613807,26750.27641293885,25036.025637303,-0.09554824034577611,4.714214900079229,0.7666587827553889,1,ENST00000312196,ENSG00000005302,-0.09554824034577611,74705000,59.823,5216,5512,5075,5266,4672,4931,5267,4956
171,171_ENST00000262367_Q92793__CREBBP,0.4001628929212799,0.4536083393004315,no,157505.18562434454,125956.53573455683,136691.4852268794,147373.6394386428,146905.52248905395,145391.9358799812,140051.0688619269,146557.03260255934,0.06550920401130927,5.457288462305548,0.397763185931428,11,ENST00000262367,ENSG00000005339,0.06550920401130927,142240000,265.35,2377,1935,2102,2268,2255,2229,2138,2250
172,172_ENST00000321027_P16383__GCFC2,2.7697994497692475e-05,0.0001267163520353122,high,338880.03925822314,336291.45196780906,348837.75015273073,433473.5393724946,415657.28180153837,416625.0360772222,341336.41379292094,421918.61908375175,0.3057704250055401,5.882669676702584,4.557551675344103,22,ENST00000321027,ENSG00000005436,0.3057704250055401,350990000,89.384,14066,14208,14750,18346,17544,17563,14341,17817
173,173_ENST00000348227_Q9H977__WDR54,1.8813237289072318e-06,1.787510673212793e-05,high,638788.5685025867,685414.6392188298,687866.8288836512,444719.33996924735,433462.0858559905,451613.7950360586,670690.0122016892,443265.0736204321,-0.5974764257729606,6.0468676806286945,5.725536466766997,26,ENST00000348227,ENSG00000005448,-0.5974764257729606,1058700000,35.891,136464,149043,149701,96873,94163,97987,145069,96341
174,174_ENST00000331536_Q9UKG9__CROT,0.0025467301648370313,0.005117041164533665,high,1198269.5540451685,1081902.2981213017,1077761.5179006108,979215.7260495217,956701.7864444756,963214.0518192047,1119311.1233556936,966377.1881044008,-0.21195279857926846,6.319249407289457,2.594017067651352,34,ENST00000331536,ENSG00000005469,-0.21195279857926846,1914400000,70.178,126438,116201,115853,105356,102652,103225,119497,103744
175,175_ENST00000006777_Q6NTF9__RHBDD2,9.368143023062166e-06,5.625790600760369e-05,high,304440.10017620766,339781.75802969275,344698.31083710433,211113.86938787095,200102.02782053527,201255.58227956828,329640.05634766823,204157.15982932484,-0.6912113988254981,5.727376304554293,5.028346487528719,17,ENST00000006777,ENSG00000005486,-0.6912113988254981,1678700000,39.202,197030,223834,227263,139316,131689,132287,216042,134430
177,177_ENST00000635384__E7EPI0_IBTK,0.2546245096243858,0.3030058081775891,no,332892.25564491,360371.7863629272,366880.3063001891,371016.740361343,367962.9239749005,359166.4319154634,353381.44943600876,366048.698750569,0.050809287576489226,5.856988633255535,0.5940997943889453,21,ENST00000635384,ENSG00000283068,0.050809287576489226,338160000,149.01,8472,9335,9512,9628,9523,9284,9106,9478
179,179_ENST00000357337_O75592__MYCBP2,0.000442395155640622,0.0011695721780173045,high,2558555.498035596,2601620.4415117833,2599072.9572517076,2779048.7779646134,2808183.501275618,2765095.013475701,2586416.298933029,2784109.097571978,0.10626124136914711,6.730016774645803,3.354189637331896,42,ENST00000357337,ENSG00000005810,0.10626124136914711,4306200000,510.08,32447,33583,33579,35937,36214,35615,33203,35922
181,181_ENST00000503176_Q15119__PDK2,0.00014061700040382208,0.0004561503240245846,high,190264.879304665,188856.10969858323,190684.1719524407,220381.92394889914,217480.0976625655,225561.13358612233,189935.0536518963,221141.05173252898,0.219460678029426,5.613922233284154,3.8519621705306775,15,ENST00000503176,ENSG00000005882,0.219460678029426,656790000,46.153,53138,53688,54253,62760,61764,63981,53693,62835
182,182_ENST00000320031_P26006_A0A140VJM0_ITGA3,1.040114333096781e-05,6.113700714410049e-05,high,2132180.498223654,2307027.50016128,2318423.4710428007,3057826.8095959956,3036077.7296115425,3015874.5358297466,2252543.8231425784,3036593.0250124284,0.4308983924639529,6.723384803855761,4.982918918870599,42,ENST00000320031,ENSG00000005884,0.4308983924639529,13787000000,116.61,384516,423487,425934,562286,556762,552383,411312,557143
183,183_ENST00000539115_P17010__ZFX,0.015021068864187071,0.024168941906876167,med,5606.622489765007,6080.353870564318,6082.051190106458,7463.361303429591,6576.337391473837,8079.614651202625,5923.009183478595,7373.104448702018,0.31594187159020143,4.123724718053914,1.8232991628510116,0,ENST00000539115,ENSG00000005889,0.31594187159020143,17361000,66.065,894,987,988,1214,1067,1309,956,1196
186,186_ENST00000353258_Q9NZC3__GDE1,0.03508546799472512,0.05138657835272674,low,523798.68319385854,594870.359947682,558340.6231243098,528373.789310106,491261.87301083084,500977.2362162288,559003.2220886168,506870.96617905516,-0.14123807076640693,6.027705945248066,1.4548727261703334,25,ENST00000353258,ENSG00000006007,-0.14123807076640693,2191800000,37.718,230384,266322,250177,236965,219719,223791,248961,226825
188,188_ENST00000392507_Q9BZF2__AC003665.1,0.0005128677954657975,0.0013266158278978375,high,169053.05402144848,190541.08503880294,194069.96334918943,239580.78839143773,233314.66077881458,237307.6464131858,184554.70080314693,236734.36519447938,0.3592206629514685,5.624580187732314,3.289994570754108,15,ENST00000392507,ENSG00000006025,0.3592206629514685,200740000,95.43,6810,7813,7964,9841,9558,9709,7529,9702
189,189_ENST00000453848_Q24JP5__TMEM132A,3.8441883542967085e-08,1.3667025509493237e-06,high,1452648.5245563295,1551473.447879238,1547565.383271401,766776.3460206864,733619.6673124573,743611.4396842145,1517229.1185689894,748002.4843391194,-1.0203239982723968,6.355112611965997,7.415195341287661,34,ENST00000453848,ENSG00000006118,-1.0203239982723968,5514300000,110.11,259091,281665,281191,139449,133055,134703,273982,135735
190,190_ENST00000610402_P63010_A0A140VJE8_AP2B1,0.8286765690003908,0.8540642508794547,no,11245424.224798841,11897592.36107894,11798526.897175264,11659233.677624943,11725203.445139945,11676294.56080434,11647181.16101768,11686910.56118974,0.004912765808512542,7.367990900669625,0.08161494074806766,49,ENST00000610402,ENSG00000006125,0.004912765808512542,90129000000,105.69,3315557,3570559,3543789,3505131,3515340,3496407,3476635,3505626
191,191_ENST00000619622_Q8TB22__SPATA20,0.001869855199061352,0.003919860938188928,high,577729.4689355362,470885.8008475582,480354.93623507716,678608.8485451161,658895.782881993,666571.9704170519,509656.7353393906,668025.5339480537,0.39037735956192043,6.071028136539598,2.728192023775539,27,ENST00000619622,ENSG00000006282,0.39037735956192043,810750000,83.37799999999999,38484,31928,32597,46092,44631,45096,34336,45273
193,193_ENST00000326577_Q9NP84__TNFRSF12A,0.018292068799074156,0.028735476499269497,med,44845.2406059668,52854.528666562655,44866.797821301334,41673.63375488897,36539.343924904126,40023.40864961618,47522.18903127693,39412.12877646976,-0.2699616168346748,4.9391912504696425,1.7377371738449268,3,ENST00000326577,ENSG00000006327,-0.2699616168346748,34606000,13.911,10353,12420,10552,9810,8578,9385,11108,9257
194,194_ENST00000005257_P11233__RALA,0.04365505916741334,0.06242323598489078,low,1041650.3159962632,993857.7075416887,998740.9711824716,1045322.9392861861,1061024.6822046258,1056483.9717731213,1011416.3315734746,1054277.1977546446,0.0598772607788314,6.3150658891126605,1.359965418827341,34,ENST00000005257,ENSG00000006451,0.0598772607788314,20599000000,23.566999999999997,3555812,3453326,3473194,3638488,3683058,3662824,3494110,3661456
